Eruotive Center,Sample,Class,Class 2,Elongation 2D,Form Factor 2D,Aspect Ratio 2D,Compactness 2D,Rectangularity 2D,Roundness 2D,Curvature 2D,Circularity 2D,Elongation 3D,Form Factor 3D,Aspect Ratio 3D,Compactness 3D,Rectangularity 3D,Roundness 3D,Curvature 3D,Circularity 3D,Wilson-Huang Factor,DellinoLaVolpe Factor,Krumbein intercept sphericity,Corey Shape Factor,Aschenbrenner working sphericity
Tocomar,N4,Fall,Proximal,2.403014341,0.120050958,0.904,0.460336283,1.733193277,0.529850997,0.475998887,0.346483705,0.011756959,0.09421928,0.04557607,0.177126777,0.430955466,162.4450139,0.006954869,0.20705856,0.473694209,0.071742417,0.339766652,0.045634112,0.176227187
Tocomar,N4,Fall,Proximal,2.340702211,0.12324685,0.966666667,0.441954023,1.677966102,0.543956228,0.475998887,0.351065307,0.029265315,0.12428078,0.066538564,0.151327701,0.399588995,65.26016678,0.015363984,0.249040118,0.516048127,0.087429345,0.398428421,0.066548124,0.22940967
Tocomar,N4,Fall,Proximal,4.442903375,0.094384939,0.616129032,0.365309914,1.693612774,0.286578266,0.57389141,0.307221319,0.007679242,0.071165626,0.031143513,0.133855819,0.348809942,248.7041565,0.00434235,0.171730269,0.3206475,0.0527592,0.249360945,0.032061054,0.124623022
Tocomar,N4,Fall,Proximal,2.902391497,0.230296769,0.625,0.551269531,1.334134615,0.438686354,0.724547495,0.479892455,0.035144484,0.130600224,0.078048097,0.183077169,0.483576107,54.34307528,0.017941819,0.257412292,0.344207039,0.123530217,0.34094833,0.080213169,0.228986479
Tocomar,N4,Fall,Proximal,3.633475154,0.07461405,0.550684932,0.499775097,2.195229682,0.350419224,0.461441174,0.273155724,0.006470511,0.069699815,0.033657072,0.191116435,0.47364018,295.1635998,0.003820433,0.169363992,0.288390344,0.046262744,0.243122059,0.035165622,0.127339845
Tocomar,N4,Fall,Proximal,1.867528271,0.497829338,0.941176471,0.568933824,0.946969697,0.681777922,0.854513202,0.705570222,0.0456719,0.248078846,0.110216161,0.266219868,0.477454517,41.81694461,0.032771146,0.394814555,0.52407549,0.278569393,0.465211514,0.1102668,0.316190366
Tocomar,N4,Fall,Proximal,2.894881484,0.111070968,0.704402516,0.490397574,1.833948339,0.439824411,0.502528402,0.333273113,0.010096116,0.114007808,0.047067492,0.226230535,0.458358862,189.167728,0.007134963,0.235120085,0.372256746,0.078359203,0.304575319,0.047791733,0.169456094
Tocomar,N4,Fall,Proximal,3.472448058,0.147278093,0.688172043,0.418472782,1.468152866,0.36666914,0.633770318,0.38376828,0.011068693,0.097089078,0.042272757,0.167147999,0.392071364,172.5460534,0.006815696,0.21124199,0.361926943,0.081067975,0.290657433,0.043012904,0.15693523
Tocomar,N4,Fall,Proximal,2.379063678,0.200341586,0.761658031,0.551866342,1.457352941,0.535185147,0.611833887,0.447595337,0.016812204,0.087480695,0.05407422,0.177165466,0.501624904,113.5995784,0.008401503,0.197064388,0.404644087,0.088205101,0.331040123,0.05457602,0.189314369
Tocomar,N4,Fall,Proximal,1.83415553,0.257236775,0.937062937,0.581828619,1.332129964,0.694182976,0.608736788,0.507185148,0.028361619,0.09636029,0.069153347,0.168792872,0.520161398,67.33957401,0.012698482,0.210183555,0.502020065,0.106601977,0.397403694,0.069189877,0.233617228
Tocomar,N4,Fall,Proximal,2.46617074,0.19067382,0.754237288,0.537611883,1.473429952,0.516281993,0.607717923,0.436662135,0.016113979,0.058036525,0.045874823,0.13321548,0.496313049,118.5218916,0.006212531,0.149899758,0.397237476,0.065455548,0.311922653,0.046331755,0.169480298
Tocomar,N4,Fall,Proximal,3.510230316,0.301590052,0.5546875,0.513589349,1.108040201,0.362722508,0.911845487,0.549172151,0.012317164,0.213380645,0.061736261,0.337091475,0.464652084,155.0567408,0.012372086,0.357083692,0.301338898,0.196100419,0.298584509,0.0644361,0.190329987
Tocomar,N4,Fall,Proximal,2.47919946,0.296686329,0.695238095,0.580169602,1.219101124,0.513568821,0.760062739,0.544689204,0.004738055,0.107118574,0.038606509,0.325078908,0.542075455,403.0892742,0.004133415,0.225550186,0.363980854,0.122854751,0.283355471,0.039245915,0.148192611
Tocomar,N4,Fall,Proximal,2.862426547,0.359504274,0.593406593,0.588726089,1.096551724,0.444811255,0.899009218,0.599586753,0.018132709,0.147800035,0.06674022,0.26275648,0.522497139,105.3267499,0.012534025,0.279543688,0.323289373,0.167610692,0.315994026,0.069025262,0.203934232
